Keyword,CVE Count
android ,5358
ios ,2547
Cisco IOS,924
D-Link ,841
Juniper Networks,627
camera ,510
TP-Link ,318
NX-OS ,211
Thread ,190
printer ,187
PLC ,125
Cisco Catalyst,119
Asus RT,97
Modbus ,84
MQTT ,78
Cisco ASR,66
Cisco Nexus,63
RTOS ,62
Samsung Galaxy,55
SIMATIC S7-,52
VxWorks ,50
Omron ,48
MicroLogix ,47
Robot ,47
smart phone,46
Modicon Quantum,41
Samsung SmartThings,40
automobile ,34
QNX ,32
NETGEAR Nighthawk,27
ZigBee ,22
6LoWPAN ,21
iQ-R Series,21
Edimax ,19
Z-Wave ,19
FreeRTOS ,18
L Series,17
CompactLogix ,16
Siemens RUGGEDCOM,16
Moxa EDS,16
FPGA ,15
Mercedes-Benz ,15
smart tv,13
Belkin WeMo,11
Bluetooth LE,11
Raspberry Pi,11
NanoMQ ,10
RIOT-OS ,10
Siemens SICAM,10
BMW ,10
NETGEAR Orbi,9
Microcontroller ,9
CoAP ,9
Hyundai ,9
DIR-645,8
infotainment ,8
Sonos One,7
RIOT ,7
mbed OS ,7
Arduino ,7
Momentum Axel,7
IP Camera,7
smart bulb,6
Embedded Linux,6
iQ-F Series,6
SDM600 ,6
Bitdefender BOX,5
ControlLogix ,5
Amazon Fire,5
Nexx Smart Home,5
smartwatch ,5
Toyota ,5
General Motors,5
Q Series,5
Zhone ZNID,4
Amazon Echo,4
Logitech Harmony,4
Apple Watch,4
LoRaWAN ,4
Volkswagen ,4
connected vehicle,4
AC500 ,4
ABB PCM600,4
OneTouch Ping devices,4
Telus Actiontec,4
SerVision HVG Video Gateway ,3
ANTlabs InnGate,3
Philips In.Sight,3
Philips Hue,3
RFID Tag,3
Tesla model s,3
iBall Baton,3
Homee Brain Cube,3
Cisco 4000 Series ,2
AirLive BU-2015,2
Alcatel-Lucent OmniSwitch,2
Actiontec GT784WN modems,2
iBaby ,2
Netatmo ,2
Samsung Gear,2
Huawei Band,2
smart speaker,2
GE Digital Energy MDS PulseNET,2
ABB MicroSCADA,2
Appliance 3000,2
Yeelight Smart,2
Foxconn femtocell,2
Huawei Quidway switches ,1
Cisco ISR,1
Juniper MX Series,1
Zhone GPON,1
Grandstream GXV3611_HD camera,1
TRENDnet WiFi Baby,1
Gynoii ,1
Lens Peek-a-View,1
Wansview ,1
Google Home,1
August Smart,1
Ring Doorbell,1
Nespresso Prodigio,1
Real-time operating system,1
Abbott FreeStyle Libre,1
Medtronic MiniMed,1
Fitbit ,1
ThreadX ,1
Industrial Routers,1
smart watch,1
Electric Vehicle,1
On-Board Diagnostics,1
Schneider Electric Conext,1
Jeep ,1
Ford ,1
Nissan ,1
Audi ,1
Subaru ,1
Wind River,1
FX Series,1
CJ2M ,1
ABB CP400,1
AC2000 ,1
Zyxel Multy,1
